"","no","speciesID","species","combination","temp","rep","sampling","cellVolume"
"155",93,"Asterio","mono","A","inc+fluc",3,6,164268113.40312
"156",416,"Asterio","quattro","ADGR","fluct",2,6,115537859.66631
"157",427,"Asterio","quattro","AGRT","inc",1,15,201208789.622961
"158",129,"Asterio","duo","AG","CS",3,15,260942649.042277
"159",477,"Asterio","quattro","ADGR","inc+fluc",3,6,35368732.5509111
"160",482,"Asterio","MIX","ADGRT","CS",2,9,208282536.133143
"161",428,"Asterio","quattro","AGRT","inc",2,15,206710592.464214
"162",242,"Asterio","duo","AD","inc",2,9,352901353.674646
"163",367,"Asterio","quattro","AGRT","CS",1,12,168983944.409909
"164",243,"Asterio","duo","AD","inc",3,9,450361861.148268
"165",483,"Asterio","MIX","ADGRT","CS",3,9,128899380.852209
"166",247,"Asterio","duo","AG","inc",1,9,442502142.803621
"167",368,"Asterio","quattro","AGRT","CS",2,12,183917409.264738
"168",121,"Asterio","duo","AD","CS",1,6,180773521.926879
"169",433,"Asterio","quattro","ADRT","inc",1,15,181559493.761344
"170",122,"Asterio","duo","AD","CS",2,6,152478535.88615
"171",369,"Asterio","quattro","AGRT","CS",3,12,157980338.727403
"172",123,"Asterio","duo","AD","CS",3,6,169769916.244373
"173",434,"Asterio","quattro","ADRT","inc",2,15,168983944.409909
"174",127,"Asterio","duo","AG","CS",1,6,154836451.389544
"175",488,"Asterio","MIX","ADGRT","fluct",2,9,160338254.230797
"176",128,"Asterio","duo","AG","CS",2,6,112393972.328451
"177",435,"Asterio","quattro","ADRT","inc",3,15,140688958.36918
"178",129,"Asterio","duo","AG","CS",3,6,146976733.044897
"179",374,"Asterio","quattro","ADRT","CS",2,12,208282536.133143
"180",133,"Asterio","duo","AR","CS",1,6,113179944.162916
"181",241,"Asterio","duo","AD","inc",1,1,15090659.2217221
"182",134,"Asterio","duo","AR","CS",2,6,115537859.66631
"183",242,"Asterio","duo","AD","inc",2,1,9431662.01357629
"184",135,"Asterio","duo","AR","CS",3,6,133615211.858997
"185",243,"Asterio","duo","AD","inc",3,1,5658997.20814578
"186",139,"Asterio","duo","AT","CS",1,6,124969521.679886
"187",247,"Asterio","duo","AG","inc",1,1,10374828.2149339
"188",140,"Asterio","duo","AT","CS",2,6,265658480.049066
"189",248,"Asterio","duo","AG","inc",2,1,26723042.3717995
"190",141,"Asterio","duo","AT","CS",3,6,143046873.872574
"191",249,"Asterio","duo","AG","inc",3,1,6602163.4095034
"192",487,"Asterio","MIX","ADGRT","fluct",1,1,19806490.2285102
"193",253,"Asterio","duo","AR","inc",1,1,12261160.6176492
"194",445,"Asterio","quattro","ADGR","inc",1,15,160338254.230797
"195",254,"Asterio","duo","AR","inc",2,1,10374828.2149339
"196",435,"Asterio","quattro","ADRT","inc",3,6,95888563.8046923
"197",255,"Asterio","duo","AR","inc",3,1,4715831.00678815
"198",446,"Asterio","quattro","ADGR","inc",2,15,137545071.031321
"199",259,"Asterio","duo","AT","inc",1,1,11317994.4162916
"200",499,"Asterio","MIX","ADGRT","inc+fluc",1,9,129685352.686674
"201",260,"Asterio","duo","AT","inc",2,1,943166.201357629
"202",489,"Asterio","MIX","ADGRT","fluct",3,1,6602163.4095034
"203",261,"Asterio","duo","AT","inc",3,1,3772664.80543052
"204",440,"Asterio","quattro","ADGT","inc",2,6,155622423.224009
"205",500,"Asterio","MIX","ADGRT","inc+fluc",2,9,117109803.335239
"206",447,"Asterio","quattro","ADGR","inc",3,12,114751887.831845
"207",385,"Asterio","quattro","ADGR","CS",1,9,168983944.409909
"208",441,"Asterio","quattro","ADGT","inc",3,6,155622423.224009
"209",379,"Asterio","quattro","ADGT","CS",1,3,193663460.0121
"210",501,"Asterio","MIX","ADGRT","inc+fluc",3,9,130471324.521139
"211",3,"Asterio","mono","A","CS",3,15,229503775.66369
"212",494,"Asterio","MIX","ADGRT","inc",2,1,19806490.2285102
"213",380,"Asterio","quattro","ADGT","CS",2,3,37412259.3205193
"214",187,"Asterio","duo","AG","fluct",1,15,326178311.302847
"215",1,"Asterio","mono","A","CS",1,12,344255663.495535
"216",2,"Asterio","mono","A","CS",2,12,191777127.609385
"217",3,"Asterio","mono","A","CS",3,12,203566705.126355
"218",189,"Asterio","duo","AG","fluct",3,15,340325804.323211
"219",313,"Asterio","duo","AR","inc+fluc",1,15,108464113.156127
"220",447,"Asterio","quattro","ADGR","inc",3,6,120253690.673098
"221",458,"Asterio","quattro","AGRT","inc+fluc",2,15,101390366.645945
"222",499,"Asterio","MIX","ADGRT","inc+fluc",1,1,19806490.2285102
"223",397,"Asterio","quattro","AGRT","fluct",1,12,181559493.761344
"224",303,"Asterio","duo","AD","inc+fluc",3,9,341111776.157676
"225",459,"Asterio","quattro","AGRT","inc+fluc",3,15,82527042.6187926
"226",307,"Asterio","duo","AG","inc+fluc",1,9,329322198.640706
"227",500,"Asterio","MIX","ADGRT","inc+fluc",2,1,17605769.0920091
"228",181,"Asterio","duo","AD","fluct",1,6,53446084.743599
"229",463,"Asterio","quattro","ADRT","inc+fluc",1,15,80955098.9498632
"230",182,"Asterio","duo","AD","fluct",2,6,134401183.693462
"231",32,"Asterio","mono","A","fluct",2,12,284521804.076218
"232",183,"Asterio","duo","AD","fluct",3,6,128899380.852209
"233",464,"Asterio","quattro","ADRT","inc+fluc",2,15,139117014.70025
"234",187,"Asterio","duo","AG","fluct",1,6,168197972.575444
"235",403,"Asterio","quattro","ADRT","fluct",1,12,130471324.521139
"236",188,"Asterio","duo","AG","fluct",2,6,182345465.595808
"237",465,"Asterio","quattro","ADRT","inc+fluc",3,15,125755493.514351
"238",189,"Asterio","duo","AG","fluct",3,6,178415606.423485
"239",3,"Asterio","mono","A","CS",3,3,65235662.2605694
"240",193,"Asterio","duo","AR","fluct",1,6,88028845.4600454
"241",301,"Asterio","duo","AD","inc+fluc",1,1,15090659.2217221
"242",194,"Asterio","duo","AR","fluct",2,6,121825634.342027
"243",302,"Asterio","duo","AD","inc+fluc",2,1,9431662.01357629
"244",195,"Asterio","duo","AR","fluct",3,6,90386760.9634395
"245",303,"Asterio","duo","AD","inc+fluc",3,1,5658997.20814578
"246",199,"Asterio","duo","AT","fluct",1,6,95102591.9702276
"247",307,"Asterio","duo","AG","inc+fluc",1,1,10374828.2149339
"248",200,"Asterio","duo","AT","fluct",2,6,99032451.1425511
"249",308,"Asterio","duo","AG","inc+fluc",2,1,26723042.3717995
"250",201,"Asterio","duo","AT","fluct",3,6,109250084.990592
"251",309,"Asterio","duo","AG","inc+fluc",3,1,6602163.4095034
"252",31,"Asterio","mono","A","fluct",1,3,29866929.7096583
"253",313,"Asterio","duo","AR","inc+fluc",1,1,12261160.6176492
"254",33,"Asterio","mono","A","fluct",3,3,91958704.6323688
"255",314,"Asterio","duo","AR","inc+fluc",2,1,10374828.2149339
"256",200,"Asterio","duo","AT","fluct",2,3,24207932.5015125
"257",315,"Asterio","duo","AR","inc+fluc",3,1,4715831.00678815
"258",476,"Asterio","quattro","ADGR","inc+fluc",2,15,88028845.4600454
"259",319,"Asterio","duo","AT","inc+fluc",1,1,11317994.4162916
"260",91,"Asterio","mono","A","inc+fluc",1,12,234219606.670478
"261",320,"Asterio","duo","AT","inc+fluc",2,1,943166.201357629
"262",93,"Asterio","mono","A","inc+fluc",3,12,183131437.430273
"263",321,"Asterio","duo","AT","inc+fluc",3,1,3772664.80543052
"264",416,"Asterio","quattro","ADGR","fluct",2,12,168197972.575444
"265",405,"Asterio","quattro","ADRT","fluct",3,3,50930974.873312
"266",481,"Asterio","MIX","ADGRT","CS",1,15,276662085.731571
"267",129,"Asterio","duo","AG","CS",3,3,7859718.34464691
"268",62,"Asterio","mono","A","inc",2,3,37726648.0543052
"269",63,"Asterio","mono","A","inc",3,3,53446084.743599
"270",242,"Asterio","duo","AD","inc",2,15,224787944.656902
"271",482,"Asterio","MIX","ADGRT","CS",2,15,235005578.504943
"272",375,"Asterio","quattro","ADRT","CS",3,9,135187155.527927
"273",410,"Asterio","quattro","ADGT","fluct",2,3,33010817.047517
"274",247,"Asterio","duo","AG","inc",1,15,167412000.740979
"275",121,"Asterio","duo","AD","CS",1,12,194921014.947243
"276",483,"Asterio","MIX","ADGRT","CS",3,15,219286141.815649
"277",122,"Asterio","duo","AD","CS",2,12,189419212.105991
"278",249,"Asterio","duo","AG","inc",3,15,242079325.015125
"279",123,"Asterio","duo","AD","CS",3,12,181559493.761344
"280",410,"Asterio","quattro","ADGT","fluct",2,1,11317994.4162916
"281",127,"Asterio","duo","AG","CS",1,12,211426423.471002
"282",91,"Asterio","mono","A","inc+fluc",1,3,26723042.3717995
"283",128,"Asterio","duo","AG","CS",2,12,199636845.954032
"284",93,"Asterio","mono","A","inc+fluc",3,3,26723042.3717995
"285",129,"Asterio","duo","AG","CS",3,12,227145860.160296
"286",488,"Asterio","MIX","ADGRT","fluct",2,15,176843662.754555
"287",133,"Asterio","duo","AR","CS",1,12,228717803.829225
"288",241,"Asterio","duo","AD","inc",1,6,80365620.0740147
"289",134,"Asterio","duo","AR","CS",2,12,220072113.650113
"290",242,"Asterio","duo","AD","inc",2,6,73095380.6052163
"291",135,"Asterio","duo","AR","CS",3,12,186275324.768132
"292",243,"Asterio","duo","AD","inc",3,6,94513113.0943791
"293",139,"Asterio","duo","AT","CS",1,12,249939043.359772
"294",247,"Asterio","duo","AG","inc",1,6,160338254.230797
"295",140,"Asterio","duo","AT","CS",2,12,216142254.47779
"296",248,"Asterio","duo","AG","inc",2,6,148548676.713827
"297",141,"Asterio","duo","AT","CS",3,12,164268113.40312
"298",249,"Asterio","duo","AG","inc",3,6,110822028.659521
"299",122,"Asterio","duo","AD","CS",2,3,16505408.5237585
"300",253,"Asterio","duo","AR","inc",1,6,126541465.348815
"301",494,"Asterio","MIX","ADGRT","inc",2,15,141474930.203644
"302",254,"Asterio","duo","AR","inc",2,6,139902986.534715
"303",127,"Asterio","duo","AG","CS",1,3,11003605.6825057
"304",255,"Asterio","duo","AR","inc",3,6,127327437.18328
"305",128,"Asterio","duo","AG","CS",2,3,25151098.7028701
"306",259,"Asterio","duo","AT","inc",1,6,87242873.6255807
"307",193,"Asterio","duo","AR","fluct",1,12,192563099.443849
"308",260,"Asterio","duo","AT","inc",2,6,127327437.18328
"309",133,"Asterio","duo","AR","CS",1,3,14933464.8548291
"310",261,"Asterio","duo","AT","inc",3,6,121039662.507562
"311",499,"Asterio","MIX","ADGRT","inc+fluc",1,15,73881352.439681
"312",303,"Asterio","duo","AD","inc+fluc",3,6,112393972.328451
"313",367,"Asterio","quattro","AGRT","CS",1,1,3772664.80543052
"314",493,"Asterio","MIX","ADGRT","inc",1,6,74667324.2741456
"315",139,"Asterio","duo","AT","CS",1,3,27509014.2062642
"316",500,"Asterio","MIX","ADGRT","inc+fluc",2,15,73881352.439681
"317",368,"Asterio","quattro","AGRT","CS",2,1,8802884.54600454
"318",261,"Asterio","duo","AT","inc",3,3,9431662.01357629
"319",141,"Asterio","duo","AT","CS",3,3,1571943.66892938
"320",380,"Asterio","quattro","ADGT","CS",2,9,250725015.194236
"321",369,"Asterio","quattro","AGRT","CS",3,1,17920157.825795
"322",501,"Asterio","MIX","ADGRT","inc+fluc",3,15,113179944.162916
"323",446,"Asterio","quattro","ADGR","inc",2,12,121825634.342027
"324",495,"Asterio","MIX","ADGRT","inc",3,6,19649295.8616173
"325",373,"Asterio","quattro","ADRT","CS",1,1,33010817.047517
"326",435,"Asterio","quattro","ADRT","inc",3,3,61620191.8220318
"327",494,"Asterio","MIX","ADGRT","inc",2,3,24207932.5015125
"328",445,"Asterio","quattro","ADGR","inc",1,9,187061296.602596
"329",374,"Asterio","quattro","ADRT","CS",2,1,17605769.0920091
"330",302,"Asterio","duo","AD","inc+fluc",2,15,179201578.25795
"331",381,"Asterio","quattro","ADGT","CS",3,6,108464113.156127
"332",182,"Asterio","duo","AD","fluct",2,15,272732226.559248
"333",375,"Asterio","quattro","ADRT","CS",3,1,15405047.9555079
"334",500,"Asterio","MIX","ADGRT","inc+fluc",2,6,74667324.2741456
"335",181,"Asterio","duo","AD","fluct",1,12,245223212.352984
"336",387,"Asterio","quattro","ADGR","CS",3,9,207496564.298678
"337",379,"Asterio","quattro","ADGT","CS",1,1,17605769.0920091
"338",309,"Asterio","duo","AG","inc+fluc",3,15,176057690.920091
"339",183,"Asterio","duo","AD","fluct",3,12,286879719.579612
"340",440,"Asterio","quattro","ADGT","inc",2,1,11317994.4162916
"341",380,"Asterio","quattro","ADGT","CS",2,1,11317994.4162916
"342",314,"Asterio","duo","AR","inc+fluc",2,15,74667324.2741456
"343",188,"Asterio","duo","AG","fluct",2,12,236577522.173872
"344",1,"Asterio","mono","A","CS",1,9,411063269.425033
"345",381,"Asterio","quattro","ADGT","CS",3,1,21692822.6312255
"346",3,"Asterio","mono","A","CS",3,9,264872508.214601
"347",477,"Asterio","quattro","ADGR","inc+fluc",3,12,139902986.534715
"348",301,"Asterio","duo","AD","inc+fluc",1,6,47158310.0678815
"349",385,"Asterio","quattro","ADGR","CS",1,1,4715831.00678815
"350",302,"Asterio","duo","AD","inc+fluc",2,6,70737465.1018222
"351",195,"Asterio","duo","AR","fluct",3,12,176057690.920091
"352",481,"Asterio","MIX","ADGRT","CS",1,12,258584733.538883
"353",386,"Asterio","quattro","ADGR","CS",2,1,2200721.13650113
"354",307,"Asterio","duo","AG","inc+fluc",1,6,80169127.1153985
"355",200,"Asterio","duo","AT","fluct",2,12,185489352.933667
"356",308,"Asterio","duo","AG","inc+fluc",2,6,113179944.162916
"357",387,"Asterio","quattro","ADGR","CS",3,1,6602163.4095034
"358",309,"Asterio","duo","AG","inc+fluc",3,6,85670929.9566513
"359",182,"Asterio","duo","AD","fluct",2,3,25151098.7028701
"360",313,"Asterio","duo","AR","inc+fluc",1,6,75453296.1086103
"361",183,"Asterio","duo","AD","fluct",3,3,22793183.199476
"362",314,"Asterio","duo","AR","inc+fluc",2,6,102962310.314875
"363",187,"Asterio","duo","AG","fluct",1,3,35368732.5509111
"364",315,"Asterio","duo","AR","inc+fluc",3,6,114751887.831845
"365",188,"Asterio","duo","AG","fluct",2,3,31438873.3785876
"366",319,"Asterio","duo","AT","inc+fluc",1,6,77811211.6120044
"367",189,"Asterio","duo","AG","fluct",3,3,56589972.0814578
"368",320,"Asterio","duo","AT","inc+fluc",2,6,85670929.9566513
"369",409,"Asterio","quattro","ADGT","fluct",1,12,217714198.146719
"370",314,"Asterio","duo","AR","inc+fluc",2,3,9431662.01357629
"371",194,"Asterio","duo","AR","fluct",2,3,29866929.7096583
"372",470,"Asterio","quattro","ADGT","inc+fluc",2,12,156408395.058474
"373",195,"Asterio","duo","AR","fluct",3,3,14147493.0203644
"374",319,"Asterio","duo","AT","inc+fluc",1,3,25151098.7028701
"375",199,"Asterio","duo","AT","fluct",1,3,48730253.7368108
"376",63,"Asterio","mono","A","inc",3,9,270374311.055854
"377",415,"Asterio","quattro","ADGR","fluct",1,15,182345465.595808
"378",321,"Asterio","duo","AT","inc+fluc",3,3,7859718.34464691
"379",201,"Asterio","duo","AT","fluct",3,3,20435267.696082
"380",475,"Asterio","quattro","ADGR","inc+fluc",1,12,111608000.493986
"381",399,"Asterio","quattro","AGRT","fluct",3,1,17920157.825795
"382",469,"Asterio","quattro","ADGT","inc+fluc",1,6,24365126.8684054
"383",476,"Asterio","quattro","ADGR","inc+fluc",2,12,79383155.2809338
"384",463,"Asterio","quattro","ADRT","inc+fluc",1,1,33010817.047517
"385",471,"Asterio","quattro","ADGT","inc+fluc",3,9,138331042.865786
"386",477,"Asterio","quattro","ADGR","inc+fluc",3,15,99818422.9770158
"387",249,"Asterio","duo","AG","inc",3,3,52817307.2760272
"388",487,"Asterio","MIX","ADGRT","fluct",1,3,74824518.6410386
"389",91,"Asterio","mono","A","inc+fluc",1,9,317532621.123735
"390",241,"Asterio","duo","AD","inc",1,15,223216000.987972
"391",93,"Asterio","mono","A","inc+fluc",3,9,224001972.822437
"392",373,"Asterio","quattro","ADRT","CS",1,6,129685352.686674
"393",427,"Asterio","quattro","AGRT","inc",1,1,3772664.80543052
"394",243,"Asterio","duo","AD","inc",3,15,175271719.085626
"395",241,"Asterio","duo","AD","inc",1,12,183917409.264738
"396",482,"Asterio","MIX","ADGRT","CS",2,12,276662085.731571
"397",409,"Asterio","quattro","ADGT","fluct",1,1,17605769.0920091
"398",476,"Asterio","quattro","ADGR","inc+fluc",2,6,52660112.9091343
"399",128,"Asterio","duo","AG","CS",2,15,283735832.241753
"400",470,"Asterio","quattro","ADGT","inc+fluc",2,1,11317994.4162916
"401",429,"Asterio","quattro","AGRT","inc",3,1,17920157.825795
"402",253,"Asterio","duo","AR","inc",1,15,184703381.099202
"403",417,"Asterio","quattro","ADGR","fluct",3,6,121039662.507562
"404",121,"Asterio","duo","AD","CS",1,9,212212395.305467
"405",411,"Asterio","quattro","ADGT","fluct",3,1,21692822.6312255
"406",249,"Asterio","duo","AG","inc",3,12,270374311.055854
"407",487,"Asterio","MIX","ADGRT","fluct",1,12,199636845.954032
"408",123,"Asterio","duo","AD","CS",3,9,171341859.913303
"409",415,"Asterio","quattro","ADGR","fluct",1,1,4715831.00678815
"410",127,"Asterio","duo","AG","CS",1,9,305743043.606765
