"","no","temp","nut","species","rep","V_ml","magn","plate","Alg","speciesID","GF","counts","sampling","A1","A2","A3","A4","A5","At_mm","Afield","cells_ml"
"46",46,"fluct","HI","mono",1,0.5,20,53,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,0.25,15288
"47",47,"fluct","HI","mono",2,0.5,20,53,"A1","Guido",14,6,1,"G",NA,NA,NA,NA,78,0.25,13104
"48",48,"fluct","HI","mono",3,0.5,20,53,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,0.25,15288
"49",49,"fluct","Low","mono",1,0.5,10,53,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"50",50,"fluct","Low","mono",2,0.5,10,53,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"51",51,"fluct","Low","mono",3,0.5,10,53,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"52",52,"fluct","HI","mono",1,0.5,10,53,"A1","Rhizo",6,8,1,"R",NA,NA,NA,NA,78,1,1872
"53",53,"fluct","HI","mono",2,0.5,10,53,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"54",54,"fluct","HI","mono",3,0.5,10,53,"A1","Rhizo",6,7,1,"R",NA,NA,NA,NA,78,1,1638
"55",55,"fluct","Low","mono",1,0.5,20,53,"A1","ThalaCux",6,9,1,"T",NA,NA,NA,NA,78,0.25,8424
"56",56,"fluct","Low","mono",2,0.5,20,53,"A1","ThalaCux",6,6,1,"T",NA,NA,NA,NA,78,0.25,5616
"57",57,"fluct","Low","mono",3,0.5,20,53,"A1","ThalaCux",6,5,1,"T",NA,NA,NA,NA,78,0.25,4680
"58",58,"fluct","HI","mono",1,0.5,20,53,"A1","ThalaCux",6,21,1,"T",NA,NA,NA,NA,78,0.25,19656
"59",59,"fluct","HI","mono",2,0.5,20,53,"A1","ThalaCux",6,13,1,"T",NA,NA,NA,NA,78,0.25,12168
"60",60,"fluct","HI","mono",3,0.5,20,53,"A1","ThalaCux",10,4,1,"T",NA,NA,NA,NA,78,0.25,6240
"61",91,"inc+fluc","Low","mono",1,0.5,40,55,"A1","Asterio",6,27,1,"A",NA,NA,NA,NA,78,0.0625,101088
"62",92,"inc+fluc","Low","mono",2,0.5,40,55,"A1","Asterio",6,15,1,"A",NA,NA,NA,NA,78,0.0625,56160
"63",93,"inc+fluc","Low","mono",3,0.5,40,55,"A1","Asterio",6,17,1,"A",NA,NA,NA,NA,78,0.0625,63648
"64",94,"inc+fluc","HI","mono",1,0.5,40,55,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"65",95,"inc+fluc","HI","mono",2,0.5,40,55,"A1","Asterio",6,18,1,"A",NA,NA,NA,NA,78,0.0625,67392
"66",96,"inc+fluc","HI","mono",3,0.5,40,55,"A1","Asterio",6,9,1,"A",NA,NA,NA,NA,78,0.0625,33696
"67",97,"inc+fluc","Low","mono",1,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"68",98,"inc+fluc","Low","mono",2,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"69",99,"inc+fluc","Low","mono",3,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"70",100,"inc+fluc","HI","mono",1,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"71",101,"inc+fluc","HI","mono",2,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"72",102,"inc+fluc","HI","mono",3,0.5,20,55,"A1","DityCux",8,1,1,"D",NA,NA,NA,NA,78,0.25,1248
"73",103,"inc+fluc","Low","mono",1,0.5,20,55,"A1","Guido",14,5,1,"G",NA,NA,NA,NA,78,0.25,10920
"74",104,"inc+fluc","Low","mono",2,0.5,20,55,"A1","Guido",14,16,1,"G",NA,NA,NA,NA,78,0.25,34944
"75",105,"inc+fluc","Low","mono",3,0.5,20,55,"A1","Guido",14,11,1,"G",NA,NA,NA,NA,78,0.25,24024
"76",106,"inc+fluc","HI","mono",1,0.5,20,55,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,0.25,15288
"77",107,"inc+fluc","HI","mono",2,0.5,20,55,"A1","Guido",14,6,1,"G",NA,NA,NA,NA,78,0.25,13104
"78",108,"inc+fluc","HI","mono",3,0.5,20,55,"A1","Guido",14,7,1,"G",NA,NA,NA,NA,78,0.25,15288
"79",109,"inc+fluc","Low","mono",1,0.5,10,55,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"80",110,"inc+fluc","Low","mono",2,0.5,10,55,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"81",111,"inc+fluc","Low","mono",3,0.5,10,55,"A1","Rhizo",6,2,1,"R",NA,NA,NA,NA,78,1,468
"82",112,"inc+fluc","HI","mono",1,0.5,10,55,"A1","Rhizo",6,8,1,"R",NA,NA,NA,NA,78,1,1872
"83",113,"inc+fluc","HI","mono",2,0.5,10,55,"A1","Rhizo",6,3,1,"R",NA,NA,NA,NA,78,1,702
"84",114,"inc+fluc","HI","mono",3,0.5,10,55,"A1","Rhizo",6,7,1,"R",NA,NA,NA,NA,78,1,1638
"85",115,"inc+fluc","Low","mono",1,0.5,20,55,"A1","ThalaCux",6,9,1,"T",NA,NA,NA,NA,78,0.25,8424
"86",116,"inc+fluc","Low","mono",2,0.5,20,55,"A1","ThalaCux",6,6,1,"T",NA,NA,NA,NA,78,0.25,5616
"87",117,"inc+fluc","Low","mono",3,0.5,20,55,"A1","ThalaCux",6,5,1,"T",NA,NA,NA,NA,78,0.25,4680
"88",118,"inc+fluc","HI","mono",1,0.5,20,55,"A1","ThalaCux",6,21,1,"T",NA,NA,NA,NA,78,0.25,19656
"89",119,"inc+fluc","HI","mono",2,0.5,20,55,"A1","ThalaCux",6,13,1,"T",NA,NA,NA,NA,78,0.25,12168
"90",120,"inc+fluc","HI","mono",3,0.5,20,55,"A1","ThalaCux",10,4,1,"T",NA,NA,NA,NA,78,0.25,6240
"91",61,"inc","Low","mono",1,0.5,40,54,"A1","Asterio",6,16,1,"A",NA,NA,NA,NA,78,0.0625,59904
"92",62,"inc","Low","mono",2,0.5,40,54,"A1","Asterio",7,8,1,"A",NA,NA,NA,NA,78,0.0625,34944
"93",63,"inc","Low","mono",3,0.5,40,54,"A1","Asterio",6,10,1,"A",NA,NA,NA,NA,78,0.0625,37440
"94",64,"inc","HI","mono",1,0.5,40,54,"A1","Asterio",6,12,1,"A",NA,NA,NA,NA,78,0.0625,44928
"95",65,"inc","HI","mono",2,0.5,40,54,"A1","Asterio",6,6,1,"A",NA,NA,NA,NA,78,0.0625,22464
"96",66,"inc","HI","mono",3,0.5,40,54,"A1","Asterio",6,3,1,"A",NA,NA,NA,NA,78,0.0625,11232
"97",67,"inc","Low","mono",1,0.5,10,54,"A1","DityCux",6,6,1,"D",NA,NA,NA,NA,78,1,1404
"98",68,"inc","Low","mono",2,0.5,20,54,"A1","DityCux",6,4,1,"D",NA,NA,NA,NA,78,0.25,3744
"99",69,"inc","Low","mono",3,0.5,20,54,"A1","DityCux",6,6,1,"D",NA,NA,NA,NA,78,0.25,5616
"100",70,"inc","HI","mono",1,0.5,20,54,"A1","DityCux",6,3,1,"D",NA,NA,NA,NA,78,0.25,2808
"101",71,"inc","HI","mono",2,0.5,20,54,"A1","DityCux",6,1,1,"D",NA,NA,NA,NA,78,0.25,936
"102",72,"inc","HI","mono",3,0.5,20,54,"A1","DityCux",6,5,1,"D",NA,NA,NA,NA,78,0.25,4680
"103",73,"inc","Low","mono",1,0.5,20,54,"A1","Guido",6,11,1,"G",NA,NA,NA,NA,78,0.25,10296
"104",74,"inc","Low","mono",2,0.5,20,54,"A1","Guido",6,1,1,"G",NA,NA,NA,NA,78,0.25,936
"105",75,"inc","Low","mono",3,0.5,20,54,"A1","Guido",10,17,1,"G",NA,NA,NA,NA,78,0.25,26520
"106",76,"inc","HI","mono",1,0.5,20,54,"A1","Guido",6,1,1,"G",NA,NA,NA,NA,78,0.25,936
"107",77,"inc","HI","mono",2,0.5,20,54,"A1","Guido",6,7,1,"G",NA,NA,NA,NA,78,0.25,6552
"108",78,"inc","HI","mono",3,0.5,20,54,"A1","Guido",6,2,1,"G",NA,NA,NA,NA,78,0.25,1872
"109",79,"inc","Low","mono",1,0.5,20,54,"A1","Rhizo",6,1,1,"R",NA,NA,NA,NA,78,0.25,936
"110",80,"inc","Low","mono",2,0.5,20,54,"A1","Rhizo",6,1,1,"R",NA,NA,NA,NA,78,0.25,936
"111",81,"inc","Low","mono",3,0.5,20,54,"A1","Rhizo",6,8,1,"R",NA,NA,NA,NA,78,0.25,7488
"112",82,"inc","HI","mono",1,0.5,20,54,"A1","Rhizo",6,1,1,"R",NA,NA,NA,NA,78,0.25,936
"113",83,"inc","HI","mono",2,0.5,20,54,"A1","Rhizo",6,35,1,"R",NA,NA,NA,NA,78,0.25,32760
"114",84,"inc","HI","mono",3,0.5,20,54,"A1","Rhizo",6,1,1,"R",NA,NA,NA,NA,78,0.25,936
"115",85,"inc","Low","mono",1,0.5,20,54,"A1","ThalaCux",6,13,1,"T",NA,NA,NA,NA,78,0.25,12168
"116",86,"inc","Low","mono",2,0.5,20,54,"A1","ThalaCux",6,1,1,"T",NA,NA,NA,NA,78,0.25,936
"117",87,"inc","Low","mono",3,0.5,20,54,"A1","ThalaCux",6,11,1,"T",NA,NA,NA,NA,78,0.25,10296
"118",88,"inc","HI","mono",1,0.5,20,54,"A1","ThalaCux",6,1,1,"T",NA,NA,NA,NA,78,0.25,936
"119",89,"inc","HI","mono",2,0.5,20,54,"A1","ThalaCux",6,5,1,"T",NA,NA,NA,NA,78,0.25,4680
"120",90,"inc","HI","mono",3,0.5,20,54,"A1","ThalaCux",6,1,1,"T",NA,NA,NA,NA,78,0.25,936
"121",121,"CS","Low","duo",1,0.5,40,5,"A1","Asterio",6,9,1,"A","D",NA,NA,NA,78,0.0625,33696
"122",121,"CS","Low","duo",1,0.5,10,5,"A2","DityCux",6,1,1,"A","D",NA,NA,NA,78,1,234
"123",122,"CS","Low","duo",2,0.5,40,5,"A1","Asterio",6,6,1,"A","D",NA,NA,NA,78,0.0625,22464
"124",122,"CS","Low","duo",2,0.5,10,5,"A2","DityCux",6,1,1,"A","D",NA,NA,NA,78,1,234
"125",123,"CS","Low","duo",3,0.5,40,5,"A1","Asterio",6,2,1,"A","D",NA,NA,NA,78,0.0625,7488
"126",123,"CS","Low","duo",3,0.5,10,5,"A2","DityCux",6,1,1,"A","D",NA,NA,NA,78,1,234
"127",124,"CS","HI","duo",1,0.5,40,5,"A1","Asterio",6,12,1,"A","D",NA,NA,NA,78,0.0625,44928
"128",124,"CS","HI","duo",1,0.5,10,5,"A2","DityCux",6,9,1,"A","D",NA,NA,NA,78,1,2106
"129",125,"CS","HI","duo",2,0.5,40,5,"A1","Asterio",6,1,1,"A","D",NA,NA,NA,78,0.0625,3744
"130",125,"CS","HI","duo",2,0.5,10,5,"A2","DityCux",6,2,1,"A","D",NA,NA,NA,78,1,468
"131",126,"CS","HI","duo",3,0.5,40,5,"A1","Asterio",6,4,1,"A","D",NA,NA,NA,78,0.0625,14976
"132",126,"CS","HI","duo",3,0.5,10,5,"A2","DityCux",6,6,1,"A","D",NA,NA,NA,78,1,1404
"133",127,"CS","Low","duo",1,0.5,40,5,"A1","Asterio",6,1,1,"A","G",NA,NA,NA,78,0.0625,3744
"134",127,"CS","Low","duo",1,0.5,20,5,"A2","Guido",6,1,1,"A","G",NA,NA,NA,78,0.25,936
"135",128,"CS","Low","duo",2,0.5,40,5,"A1","Asterio",6,14,1,"A","G",NA,NA,NA,78,0.0625,52416
"136",128,"CS","Low","duo",2,0.5,20,5,"A2","Guido",6,1,1,"A","G",NA,NA,NA,78,0.25,936
"137",129,"CS","Low","duo",3,0.5,40,5,"A1","Asterio",6,12,1,"A","G",NA,NA,NA,78,0.0625,44928
"138",129,"CS","Low","duo",3,0.5,20,5,"A2","Guido",6,3,1,"A","G",NA,NA,NA,78,0.25,2808
"139",130,"CS","HI","duo",1,0.5,40,5,"A1","Asterio",6,8,1,"A","G",NA,NA,NA,78,0.0625,29952
"140",130,"CS","HI","duo",1,0.5,20,5,"A2","Guido",6,1,1,"A","G",NA,NA,NA,78,0.25,936
"141",131,"CS","HI","duo",2,0.5,40,5,"A1","Asterio",6,4,1,"A","G",NA,NA,NA,78,0.0625,14976
"142",131,"CS","HI","duo",2,0.5,20,5,"A2","Guido",6,1,1,"A","G",NA,NA,NA,78,0.25,936
"143",132,"CS","HI","duo",3,0.5,40,5,"A1","Asterio",6,8,1,"A","G",NA,NA,NA,78,0.0625,29952
"144",132,"CS","HI","duo",3,0.5,20,5,"A2","Guido",6,1,1,"A","G",NA,NA,NA,78,0.25,936
"145",133,"CS","Low","duo",1,0.5,40,5,"A1","Asterio",6,5,1,"A","R",NA,NA,NA,78,0.0625,18720
"146",133,"CS","Low","duo",1,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"147",134,"CS","Low","duo",2,0.5,40,5,"A1","Asterio",6,6,1,"A","R",NA,NA,NA,78,0.0625,22464
"148",134,"CS","Low","duo",2,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"149",135,"CS","Low","duo",3,0.5,40,5,"A1","Asterio",6,5,1,"A","R",NA,NA,NA,78,0.0625,18720
"150",135,"CS","Low","duo",3,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"151",136,"CS","HI","duo",1,0.5,40,5,"A1","Asterio",6,4,1,"A","R",NA,NA,NA,78,0.0625,14976
"152",136,"CS","HI","duo",1,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"153",137,"CS","HI","duo",2,0.5,40,5,"A1","Asterio",6,2,1,"A","R",NA,NA,NA,78,0.0625,7488
"154",137,"CS","HI","duo",2,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"155",138,"CS","HI","duo",3,0.5,40,5,"A1","Asterio",6,3,1,"A","R",NA,NA,NA,78,0.0625,11232
"156",138,"CS","HI","duo",3,0.5,10,5,"A2","Rhizo",6,1,1,"A","R",NA,NA,NA,78,1,234
"157",139,"CS","Low","duo",1,0.5,40,5,"A1","Asterio",6,5,1,"A","T",NA,NA,NA,78,0.0625,18720
"158",139,"CS","Low","duo",1,0.5,20,5,"A2","ThalaCux",6,1,1,"A","T",NA,NA,NA,78,0.25,936
"159",140,"CS","Low","duo",2,0.5,40,5,"A1","Asterio",6,5,1,"A","T",NA,NA,NA,78,0.0625,18720
"160",140,"CS","Low","duo",2,0.5,20,5,"A2","ThalaCux",6,2,1,"A","T",NA,NA,NA,78,0.25,1872
"161",141,"CS","Low","duo",3,0.5,40,5,"A1","Asterio",6,6,1,"A","T",NA,NA,NA,78,0.0625,22464
"162",141,"CS","Low","duo",3,0.5,20,5,"A2","ThalaCux",6,3,1,"A","T",NA,NA,NA,78,0.25,2808
"163",142,"CS","HI","duo",1,0.5,40,5,"A1","Asterio",6,5,1,"A","T",NA,NA,NA,78,0.0625,18720
"164",142,"CS","HI","duo",1,0.5,20,5,"A2","ThalaCux",6,2,1,"A","T",NA,NA,NA,78,0.25,1872
"165",143,"CS","HI","duo",2,0.5,40,5,"A1","Asterio",6,9,1,"A","T",NA,NA,NA,78,0.0625,33696
"166",143,"CS","HI","duo",2,0.5,20,5,"A2","ThalaCux",6,10,1,"A","T",NA,NA,NA,78,0.25,9360
"167",144,"CS","HI","duo",3,0.5,40,5,"A1","Asterio",6,1,1,"A","T",NA,NA,NA,78,0.0625,3744
"168",144,"CS","HI","duo",3,0.5,20,5,"A2","ThalaCux",6,1,1,"A","T",NA,NA,NA,78,0.25,936
"169",145,"CS","Low","duo",1,0.5,10,5,"A1","DityCux",6,3,1,"D","G",NA,NA,NA,78,1,702
"170",145,"CS","Low","duo",1,0.5,20,5,"A2","Guido",6,1,1,"D","G",NA,NA,NA,78,0.25,936
"171",146,"CS","Low","duo",2,0.5,10,5,"A1","DityCux",6,7,1,"D","G",NA,NA,NA,78,1,1638
"172",146,"CS","Low","duo",2,0.5,20,5,"A2","Guido",6,11,1,"D","G",NA,NA,NA,78,0.25,10296
"173",147,"CS","Low","duo",3,0.5,10,5,"A1","DityCux",6,1,1,"D","G",NA,NA,NA,78,1,234
"174",147,"CS","Low","duo",3,0.5,20,5,"A2","Guido",6,1,1,"D","G",NA,NA,NA,78,0.25,936
"175",148,"CS","HI","duo",1,0.5,10,5,"A1","DityCux",6,1,1,"D","G",NA,NA,NA,78,1,234
"176",148,"CS","HI","duo",1,0.5,20,5,"A2","Guido",6,1,1,"D","G",NA,NA,NA,78,0.25,936
"177",149,"CS","HI","duo",2,0.5,10,5,"A1","DityCux",6,1,1,"D","G",NA,NA,NA,78,1,234
"178",149,"CS","HI","duo",2,0.5,20,5,"A2","Guido",6,1,1,"D","G",NA,NA,NA,78,0.25,936
"179",150,"CS","HI","duo",3,0.5,10,5,"A1","DityCux",6,1,1,"D","G",NA,NA,NA,78,1,234
"180",150,"CS","HI","duo",3,0.5,20,5,"A2","Guido",6,1,1,"D","G",NA,NA,NA,78,0.25,936
"181",151,"CS","Low","duo",1,0.5,10,6,"A1","DityCux",6,1,1,"D","R",NA,NA,NA,78,1,234
"182",151,"CS","Low","duo",1,0.5,10,6,"A2","Rhizo",6,2,1,"D","R",NA,NA,NA,78,1,468
"183",152,"CS","Low","duo",2,0.5,10,6,"A1","DityCux",6,1,1,"D","R",NA,NA,NA,78,1,234
"184",152,"CS","Low","duo",2,0.5,10,6,"A2","Rhizo",6,1,1,"D","R",NA,NA,NA,78,1,234
"185",153,"CS","Low","duo",3,0.5,10,6,"A1","DityCux",6,1,1,"D","R",NA,NA,NA,78,1,234
"186",153,"CS","Low","duo",3,0.5,10,6,"A2","Rhizo",6,1,1,"D","R",NA,NA,NA,78,1,234
"187",154,"CS","HI","duo",1,0.5,10,6,"A1","DityCux",6,1,1,"D","R",NA,NA,NA,78,1,234
"188",154,"CS","HI","duo",1,0.5,10,6,"A2","Rhizo",6,4,1,"D","R",NA,NA,NA,78,1,936
"189",155,"CS","HI","duo",2,0.5,10,6,"A1","DityCux",6,1,1,"D","R",NA,NA,NA,78,1,234
"190",155,"CS","HI","duo",2,0.5,10,6,"A2","Rhizo",6,1,1,"D","R",NA,NA,NA,78,1,234
"191",156,"CS","HI","duo",3,0.5,10,6,"A1","DityCux",6,2,1,"D","R",NA,NA,NA,78,1,468
"192",156,"CS","HI","duo",3,0.5,10,6,"A2","Rhizo",6,6,1,"D","R",NA,NA,NA,78,1,1404
"193",157,"CS","Low","duo",1,0.5,10,6,"A1","DityCux",6,1,1,"D","T",NA,NA,NA,78,1,234
"194",157,"CS","Low","duo",1,0.5,20,6,"A2","ThalaCux",6,7,1,"D","T",NA,NA,NA,78,0.25,6552
"195",158,"CS","Low","duo",2,0.5,10,6,"A1","DityCux",6,2,1,"D","T",NA,NA,NA,78,1,468
"196",158,"CS","Low","duo",2,0.5,20,6,"A2","ThalaCux",6,3,1,"D","T",NA,NA,NA,78,0.25,2808
"197",159,"CS","Low","duo",3,0.5,10,6,"A1","DityCux",6,1,1,"D","T",NA,NA,NA,78,1,234
"198",159,"CS","Low","duo",3,0.5,20,6,"A2","ThalaCux",6,8,1,"D","T",NA,NA,NA,78,0.25,7488
"199",160,"CS","HI","duo",1,0.5,10,6,"A1","DityCux",6,3,1,"D","T",NA,NA,NA,78,1,702
"200",160,"CS","HI","duo",1,0.5,20,6,"A2","ThalaCux",6,3,1,"D","T",NA,NA,NA,78,0.25,2808
"201",161,"CS","HI","duo",2,0.5,10,6,"A1","DityCux",6,2,1,"D","T",NA,NA,NA,78,1,468
"202",161,"CS","HI","duo",2,0.5,20,6,"A2","ThalaCux",6,2,1,"D","T",NA,NA,NA,78,0.25,1872
"203",162,"CS","HI","duo",3,0.5,10,6,"A1","DityCux",6,1,1,"D","T",NA,NA,NA,78,1,234
"204",162,"CS","HI","duo",3,0.5,20,6,"A2","ThalaCux",6,1,1,"D","T",NA,NA,NA,78,0.25,936
"205",163,"CS","Low","duo",1,0.5,20,6,"A1","Guido",6,1,1,"G","R",NA,NA,NA,78,0.25,936
"206",163,"CS","Low","duo",1,0.5,10,6,"A2","Rhizo",6,2,1,"G","R",NA,NA,NA,78,1,468
"207",164,"CS","Low","duo",2,0.5,20,6,"A1","Guido",6,1,1,"G","R",NA,NA,NA,78,0.25,936
"208",164,"CS","Low","duo",2,0.5,10,6,"A2","Rhizo",6,0,1,"G","R",NA,NA,NA,78,1,0
"209",165,"CS","Low","duo",3,0.5,20,6,"A1","Guido",6,1,1,"G","R",NA,NA,NA,78,0.25,936
"210",165,"CS","Low","duo",3,0.5,10,6,"A2","Rhizo",6,4,1,"G","R",NA,NA,NA,78,1,936
"211",166,"CS","HI","duo",1,0.5,20,6,"A1","Guido",14,8,1,"G","R",NA,NA,NA,78,0.25,17472
"212",166,"CS","HI","duo",1,0.5,10,6,"A2","Rhizo",8,1,1,"G","R",NA,NA,NA,78,1,312
"213",167,"CS","HI","duo",2,0.5,20,6,"A1","Guido",14,1,1,"G","R",NA,NA,NA,78,0.25,2184
"214",167,"CS","HI","duo",2,0.5,10,6,"A2","Rhizo",14,7,1,"G","R",NA,NA,NA,78,1,3822
"215",168,"CS","HI","duo",3,0.5,20,6,"A1","Guido",14,9,1,"G","R",NA,NA,NA,78,0.25,19656
"216",168,"CS","HI","duo",3,0.5,10,6,"A2","Rhizo",8,1,1,"G","R",NA,NA,NA,78,1,312
"217",169,"CS","Low","duo",1,0.5,20,6,"A1","Guido",14,2,1,"G","T",NA,NA,NA,78,0.25,4368
