"";"row";"method";"fileName";"combination";"sampling";"column";"value";"ID";"treat"
"24";"F";"440";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"25";"A";"450";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"26";"B";"450";"./mix_s9.txt";"mix";9;"V1";0,041;"MQ";NA
"27";"C";"450";"./mix_s9.txt";"mix";9;"V1";0,04;"MQ";NA
"28";"D";"450";"./mix_s9.txt";"mix";9;"V1";0,04;"MQ";NA
"29";"E";"450";"./mix_s9.txt";"mix";9;"V1";0,04;"MQ";NA
"30";"F";"450";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"31";"A";"650";"./mix_s9.txt";"mix";9;"V1";0,034;"MQ";NA
"32";"B";"650";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"33";"C";"650";"./mix_s9.txt";"mix";9;"V1";0,036;"MQ";NA
"34";"D";"650";"./mix_s9.txt";"mix";9;"V1";0,035;"MQ";NA
"35";"E";"650";"./mix_s9.txt";"mix";9;"V1";0,039;"MQ";NA
"36";"F";"650";"./mix_s9.txt";"mix";9;"V1";0,034;"MQ";NA
"37";"A";"395,680";"./mix_s9.txt";"mix";9;"V2";1;"MQ";NA
"38";"B";"395,680";"./mix_s9.txt";"mix";9;"V2";296;"MIX_Low_1";"cs"
"39";"C";"395,680";"./mix_s9.txt";"mix";9;"V2";182;"MIX_Low_1";"fluc"
"40";"D";"395,680";"./mix_s9.txt";"mix";9;"V2";255;"MIX_Low_1";"inc"
"41";"E";"395,680";"./mix_s9.txt";"mix";9;"V2";121;"MIX_Low_1";"flucinc"
"42";"F";"395,680";"./mix_s9.txt";"mix";9;"V2";2;"MQ";NA
"43";"A";"614,680";"./mix_s9.txt";"mix";9;"V2";0;"MQ";NA
"44";"B";"614,680";"./mix_s9.txt";"mix";9;"V2";51;"MIX_Low_1";"cs"
"45";"C";"614,680";"./mix_s9.txt";"mix";9;"V2";17;"MIX_Low_1";"fluc"
"46";"D";"614,680";"./mix_s9.txt";"mix";9;"V2";40;"MIX_Low_1";"inc"
"47";"E";"614,680";"./mix_s9.txt";"mix";9;"V2";44;"MIX_Low_1";"flucinc"
"48";"F";"614,680";"./mix_s9.txt";"mix";9;"V2";2;"MQ";NA
"49";"A";"440,660";"./mix_s9.txt";"mix";9;"V2";1;"MQ";NA
"50";"B";"440,660";"./mix_s9.txt";"mix";9;"V2";223;"MIX_Low_1";"cs"
"51";"C";"440,660";"./mix_s9.txt";"mix";9;"V2";77;"MIX_Low_1";"fluc"
"52";"D";"440,660";"./mix_s9.txt";"mix";9;"V2";121;"MIX_Low_1";"inc"
"53";"E";"440,660";"./mix_s9.txt";"mix";9;"V2";158;"MIX_Low_1";"flucinc"
"54";"F";"440,660";"./mix_s9.txt";"mix";9;"V2";6;"MQ";NA
"55";"A";"440";"./mix_s9.txt";"mix";9;"V2";0,04;"MQ";NA
"56";"B";"440";"./mix_s9.txt";"mix";9;"V2";0,071;"MIX_Low_1";"cs"
"57";"C";"440";"./mix_s9.txt";"mix";9;"V2";0,07;"MIX_Low_1";"fluc"
"58";"D";"440";"./mix_s9.txt";"mix";9;"V2";0,072;"MIX_Low_1";"inc"
"59";"E";"440";"./mix_s9.txt";"mix";9;"V2";0,067;"MIX_Low_1";"flucinc"
"60";"F";"440";"./mix_s9.txt";"mix";9;"V2";0,041;"MQ";NA
"61";"A";"450";"./mix_s9.txt";"mix";9;"V2";0,039;"MQ";NA
"62";"B";"450";"./mix_s9.txt";"mix";9;"V2";0,068;"MIX_Low_1";"cs"
"63";"C";"450";"./mix_s9.txt";"mix";9;"V2";0,069;"MIX_Low_1";"fluc"
"64";"D";"450";"./mix_s9.txt";"mix";9;"V2";0,068;"MIX_Low_1";"inc"
"65";"E";"450";"./mix_s9.txt";"mix";9;"V2";0,065;"MIX_Low_1";"flucinc"
"66";"F";"450";"./mix_s9.txt";"mix";9;"V2";0,041;"MQ";NA
"67";"A";"650";"./mix_s9.txt";"mix";9;"V2";0,035;"MQ";NA
"68";"B";"650";"./mix_s9.txt";"mix";9;"V2";0,051;"MIX_Low_1";"cs"
"69";"C";"650";"./mix_s9.txt";"mix";9;"V2";0,056;"MIX_Low_1";"fluc"
"70";"D";"650";"./mix_s9.txt";"mix";9;"V2";0,053;"MIX_Low_1";"inc"
"71";"E";"650";"./mix_s9.txt";"mix";9;"V2";0,051;"MIX_Low_1";"flucinc"
"72";"F";"650";"./mix_s9.txt";"mix";9;"V2";0,038;"MQ";NA
"73";"A";"395,680";"./mix_s9.txt";"mix";9;"V3";6;"MQ";NA
"74";"B";"395,680";"./mix_s9.txt";"mix";9;"V3";214;"MIX_Low_2";"cs"
"75";"C";"395,680";"./mix_s9.txt";"mix";9;"V3";82;"MIX_Low_2";"fluc"
"76";"D";"395,680";"./mix_s9.txt";"mix";9;"V3";196;"MIX_Low_2";"inc"
"77";"E";"395,680";"./mix_s9.txt";"mix";9;"V3";205;"MIX_Low_2";"flucinc"
"78";"F";"395,680";"./mix_s9.txt";"mix";9;"V3";7;"MQ";NA
"79";"A";"614,680";"./mix_s9.txt";"mix";9;"V3";4;"MQ";NA
"80";"B";"614,680";"./mix_s9.txt";"mix";9;"V3";49;"MIX_Low_2";"cs"
"81";"C";"614,680";"./mix_s9.txt";"mix";9;"V3";19;"MIX_Low_2";"fluc"
"82";"D";"614,680";"./mix_s9.txt";"mix";9;"V3";36;"MIX_Low_2";"inc"
"83";"E";"614,680";"./mix_s9.txt";"mix";9;"V3";35;"MIX_Low_2";"flucinc"
"84";"F";"614,680";"./mix_s9.txt";"mix";9;"V3";0;"MQ";NA
"85";"A";"440,660";"./mix_s9.txt";"mix";9;"V3";10;"MQ";NA
"86";"B";"440,660";"./mix_s9.txt";"mix";9;"V3";161;"MIX_Low_2";"cs"
"87";"C";"440,660";"./mix_s9.txt";"mix";9;"V3";51;"MIX_Low_2";"fluc"
"88";"D";"440,660";"./mix_s9.txt";"mix";9;"V3";129;"MIX_Low_2";"inc"
"89";"E";"440,660";"./mix_s9.txt";"mix";9;"V3";147;"MIX_Low_2";"flucinc"
"90";"F";"440,660";"./mix_s9.txt";"mix";9;"V3";2;"MQ";NA
"91";"A";"440";"./mix_s9.txt";"mix";9;"V3";0,04;"MQ";NA
"92";"B";"440";"./mix_s9.txt";"mix";9;"V3";0,075;"MIX_Low_2";"cs"
"93";"C";"440";"./mix_s9.txt";"mix";9;"V3";0,062;"MIX_Low_2";"fluc"
"94";"D";"440";"./mix_s9.txt";"mix";9;"V3";0,08;"MIX_Low_2";"inc"
"95";"E";"440";"./mix_s9.txt";"mix";9;"V3";0,064;"MIX_Low_2";"flucinc"
"96";"F";"440";"./mix_s9.txt";"mix";9;"V3";0,041;"MQ";NA
"97";"A";"450";"./mix_s9.txt";"mix";9;"V3";0,04;"MQ";NA
"98";"B";"450";"./mix_s9.txt";"mix";9;"V3";0,072;"MIX_Low_2";"cs"
"99";"C";"450";"./mix_s9.txt";"mix";9;"V3";0,059;"MIX_Low_2";"fluc"
"100";"D";"450";"./mix_s9.txt";"mix";9;"V3";0,076;"MIX_Low_2";"inc"
"101";"E";"450";"./mix_s9.txt";"mix";9;"V3";0,066;"MIX_Low_2";"flucinc"
"102";"F";"450";"./mix_s9.txt";"mix";9;"V3";0,041;"MQ";NA
"103";"A";"650";"./mix_s9.txt";"mix";9;"V3";0,035;"MQ";NA
"104";"B";"650";"./mix_s9.txt";"mix";9;"V3";0,058;"MIX_Low_2";"cs"
"105";"C";"650";"./mix_s9.txt";"mix";9;"V3";0,048;"MIX_Low_2";"fluc"
"106";"D";"650";"./mix_s9.txt";"mix";9;"V3";0,056;"MIX_Low_2";"inc"
"107";"E";"650";"./mix_s9.txt";"mix";9;"V3";0,05;"MIX_Low_2";"flucinc"
"108";"F";"650";"./mix_s9.txt";"mix";9;"V3";0,037;"MQ";NA
"109";"A";"395,680";"./mix_s9.txt";"mix";9;"V4";3;"MQ";NA
"110";"B";"395,680";"./mix_s9.txt";"mix";9;"V4";225;"MIX_Low_3";"cs"
"111";"C";"395,680";"./mix_s9.txt";"mix";9;"V4";102;"MIX_Low_3";"fluc"
"112";"D";"395,680";"./mix_s9.txt";"mix";9;"V4";182;"MIX_Low_3";"inc"
"113";"E";"395,680";"./mix_s9.txt";"mix";9;"V4";193;"MIX_Low_3";"flucinc"
"114";"F";"395,680";"./mix_s9.txt";"mix";9;"V4";8;"MQ";NA
"115";"A";"614,680";"./mix_s9.txt";"mix";9;"V4";2;"MQ";NA
"116";"B";"614,680";"./mix_s9.txt";"mix";9;"V4";50;"MIX_Low_3";"cs"
"117";"C";"614,680";"./mix_s9.txt";"mix";9;"V4";9;"MIX_Low_3";"fluc"
"118";"D";"614,680";"./mix_s9.txt";"mix";9;"V4";58;"MIX_Low_3";"inc"
"119";"E";"614,680";"./mix_s9.txt";"mix";9;"V4";20;"MIX_Low_3";"flucinc"
"120";"F";"614,680";"./mix_s9.txt";"mix";9;"V4";4;"MQ";NA
"121";"A";"440,660";"./mix_s9.txt";"mix";9;"V4";0;"MQ";NA
"122";"B";"440,660";"./mix_s9.txt";"mix";9;"V4";115;"MIX_Low_3";"cs"
"123";"C";"440,660";"./mix_s9.txt";"mix";9;"V4";84;"MIX_Low_3";"fluc"
"124";"D";"440,660";"./mix_s9.txt";"mix";9;"V4";215;"MIX_Low_3";"inc"
"125";"E";"440,660";"./mix_s9.txt";"mix";9;"V4";88;"MIX_Low_3";"flucinc"
"126";"F";"440,660";"./mix_s9.txt";"mix";9;"V4";3;"MQ";NA
"127";"A";"440";"./mix_s9.txt";"mix";9;"V4";0,041;"MQ";NA
"128";"B";"440";"./mix_s9.txt";"mix";9;"V4";0,069;"MIX_Low_3";"cs"
"129";"C";"440";"./mix_s9.txt";"mix";9;"V4";0,061;"MIX_Low_3";"fluc"
"130";"D";"440";"./mix_s9.txt";"mix";9;"V4";0,081;"MIX_Low_3";"inc"
"131";"E";"440";"./mix_s9.txt";"mix";9;"V4";0,061;"MIX_Low_3";"flucinc"
"132";"F";"440";"./mix_s9.txt";"mix";9;"V4";0,04;"MQ";NA
"133";"A";"450";"./mix_s9.txt";"mix";9;"V4";0,04;"MQ";NA
"134";"B";"450";"./mix_s9.txt";"mix";9;"V4";0,069;"MIX_Low_3";"cs"
"135";"C";"450";"./mix_s9.txt";"mix";9;"V4";0,061;"MIX_Low_3";"fluc"
"136";"D";"450";"./mix_s9.txt";"mix";9;"V4";0,071;"MIX_Low_3";"inc"
"137";"E";"450";"./mix_s9.txt";"mix";9;"V4";0,066;"MIX_Low_3";"flucinc"
"138";"F";"450";"./mix_s9.txt";"mix";9;"V4";0,04;"MQ";NA
"139";"A";"650";"./mix_s9.txt";"mix";9;"V4";0,037;"MQ";NA
"140";"B";"650";"./mix_s9.txt";"mix";9;"V4";0,059;"MIX_Low_3";"cs"
"141";"C";"650";"./mix_s9.txt";"mix";9;"V4";0,051;"MIX_Low_3";"fluc"
"142";"D";"650";"./mix_s9.txt";"mix";9;"V4";0,056;"MIX_Low_3";"inc"
"143";"E";"650";"./mix_s9.txt";"mix";9;"V4";0,052;"MIX_Low_3";"flucinc"
"144";"F";"650";"./mix_s9.txt";"mix";9;"V4";0,036;"MQ";NA
"145";"A";"395,680";"./mix_s9.txt";"mix";9;"V5";0;"MQ";NA
"146";"B";"395,680";"./mix_s9.txt";"mix";9;"V5";326;"MIX_Hi_1";"cs"
"147";"C";"395,680";"./mix_s9.txt";"mix";9;"V5";189;"MIX_Hi_1";"fluc"
"148";"D";"395,680";"./mix_s9.txt";"mix";9;"V5";242;"MIX_Hi_1";"inc"
"149";"E";"395,680";"./mix_s9.txt";"mix";9;"V5";237;"MIX_Hi_1";"flucinc"
"150";"F";"395,680";"./mix_s9.txt";"mix";9;"V5";0;"MQ";NA
"151";"A";"614,680";"./mix_s9.txt";"mix";9;"V5";0;"MQ";NA
"152";"B";"614,680";"./mix_s9.txt";"mix";9;"V5";54;"MIX_Hi_1";"cs"
"153";"C";"614,680";"./mix_s9.txt";"mix";9;"V5";57;"MIX_Hi_1";"fluc"
"154";"D";"614,680";"./mix_s9.txt";"mix";9;"V5";61;"MIX_Hi_1";"inc"
"155";"E";"614,680";"./mix_s9.txt";"mix";9;"V5";51;"MIX_Hi_1";"flucinc"
"156";"F";"614,680";"./mix_s9.txt";"mix";9;"V5";8;"MQ";NA
"157";"A";"440,660";"./mix_s9.txt";"mix";9;"V5";7;"MQ";NA
"158";"B";"440,660";"./mix_s9.txt";"mix";9;"V5";205;"MIX_Hi_1";"cs"
"159";"C";"440,660";"./mix_s9.txt";"mix";9;"V5";184;"MIX_Hi_1";"fluc"
"160";"D";"440,660";"./mix_s9.txt";"mix";9;"V5";174;"MIX_Hi_1";"inc"
"161";"E";"440,660";"./mix_s9.txt";"mix";9;"V5";157;"MIX_Hi_1";"flucinc"
"162";"F";"440,660";"./mix_s9.txt";"mix";9;"V5";3;"MQ";NA
"163";"A";"440";"./mix_s9.txt";"mix";9;"V5";0,04;"MQ";NA
"164";"B";"440";"./mix_s9.txt";"mix";9;"V5";0,075;"MIX_Hi_1";"cs"
"165";"C";"440";"./mix_s9.txt";"mix";9;"V5";0,072;"MIX_Hi_1";"fluc"
"166";"D";"440";"./mix_s9.txt";"mix";9;"V5";0,075;"MIX_Hi_1";"inc"
"167";"E";"440";"./mix_s9.txt";"mix";9;"V5";0,069;"MIX_Hi_1";"flucinc"
"168";"F";"440";"./mix_s9.txt";"mix";9;"V5";0,04;"MQ";NA
"169";"A";"450";"./mix_s9.txt";"mix";9;"V5";0,039;"MQ";NA
"170";"B";"450";"./mix_s9.txt";"mix";9;"V5";0,076;"MIX_Hi_1";"cs"
"171";"C";"450";"./mix_s9.txt";"mix";9;"V5";0,072;"MIX_Hi_1";"fluc"
"172";"D";"450";"./mix_s9.txt";"mix";9;"V5";0,071;"MIX_Hi_1";"inc"
"173";"E";"450";"./mix_s9.txt";"mix";9;"V5";0,068;"MIX_Hi_1";"flucinc"
"174";"F";"450";"./mix_s9.txt";"mix";9;"V5";0,04;"MQ";NA
"175";"A";"650";"./mix_s9.txt";"mix";9;"V5";0,036;"MQ";NA
"176";"B";"650";"./mix_s9.txt";"mix";9;"V5";0,062;"MIX_Hi_1";"cs"
"177";"C";"650";"./mix_s9.txt";"mix";9;"V5";0,06;"MIX_Hi_1";"fluc"
"178";"D";"650";"./mix_s9.txt";"mix";9;"V5";0,057;"MIX_Hi_1";"inc"
"179";"E";"650";"./mix_s9.txt";"mix";9;"V5";0,054;"MIX_Hi_1";"flucinc"
"180";"F";"650";"./mix_s9.txt";"mix";9;"V5";0,036;"MQ";NA
"181";"A";"395,680";"./mix_s9.txt";"mix";9;"V6";8;"MQ";NA
"182";"B";"395,680";"./mix_s9.txt";"mix";9;"V6";313;"MIX_Hi_2";"cs"
"183";"C";"395,680";"./mix_s9.txt";"mix";9;"V6";187;"MIX_Hi_2";"fluc"
"184";"D";"395,680";"./mix_s9.txt";"mix";9;"V6";221;"MIX_Hi_2";"inc"
"185";"E";"395,680";"./mix_s9.txt";"mix";9;"V6";274;"MIX_Hi_2";"flucinc"
"186";"F";"395,680";"./mix_s9.txt";"mix";9;"V6";0;"MQ";NA
"187";"A";"614,680";"./mix_s9.txt";"mix";9;"V6";0;"MQ";NA
"188";"B";"614,680";"./mix_s9.txt";"mix";9;"V6";58;"MIX_Hi_2";"cs"
"189";"C";"614,680";"./mix_s9.txt";"mix";9;"V6";34;"MIX_Hi_2";"fluc"
"190";"D";"614,680";"./mix_s9.txt";"mix";9;"V6";36;"MIX_Hi_2";"inc"
"191";"E";"614,680";"./mix_s9.txt";"mix";9;"V6";53;"MIX_Hi_2";"flucinc"
"192";"F";"614,680";"./mix_s9.txt";"mix";9;"V6";1;"MQ";NA
"193";"A";"440,660";"./mix_s9.txt";"mix";9;"V6";4;"MQ";NA
"194";"B";"440,660";"./mix_s9.txt";"mix";9;"V6";179;"MIX_Hi_2";"cs"
"195";"C";"440,660";"./mix_s9.txt";"mix";9;"V6";166;"MIX_Hi_2";"fluc"
"196";"D";"440,660";"./mix_s9.txt";"mix";9;"V6";164;"MIX_Hi_2";"inc"
"197";"E";"440,660";"./mix_s9.txt";"mix";9;"V6";214;"MIX_Hi_2";"flucinc"
"198";"F";"440,660";"./mix_s9.txt";"mix";9;"V6";2;"MQ";NA
"199";"A";"440";"./mix_s9.txt";"mix";9;"V6";0,04;"MQ";NA
"200";"B";"440";"./mix_s9.txt";"mix";9;"V6";0,077;"MIX_Hi_2";"cs"
"201";"C";"440";"./mix_s9.txt";"mix";9;"V6";0,071;"MIX_Hi_2";"fluc"
"202";"D";"440";"./mix_s9.txt";"mix";9;"V6";0,072;"MIX_Hi_2";"inc"
"203";"E";"440";"./mix_s9.txt";"mix";9;"V6";0,067;"MIX_Hi_2";"flucinc"
"204";"F";"440";"./mix_s9.txt";"mix";9;"V6";0,04;"MQ";NA
"205";"A";"450";"./mix_s9.txt";"mix";9;"V6";0,039;"MQ";NA
"206";"B";"450";"./mix_s9.txt";"mix";9;"V6";0,086;"MIX_Hi_2";"cs"
"207";"C";"450";"./mix_s9.txt";"mix";9;"V6";0,067;"MIX_Hi_2";"fluc"
"208";"D";"450";"./mix_s9.txt";"mix";9;"V6";0,072;"MIX_Hi_2";"inc"
"209";"E";"450";"./mix_s9.txt";"mix";9;"V6";0,071;"MIX_Hi_2";"flucinc"
"210";"F";"450";"./mix_s9.txt";"mix";9;"V6";0,039;"MQ";NA
"211";"A";"650";"./mix_s9.txt";"mix";9;"V6";0,038;"MQ";NA
"212";"B";"650";"./mix_s9.txt";"mix";9;"V6";0,063;"MIX_Hi_2";"cs"
"213";"C";"650";"./mix_s9.txt";"mix";9;"V6";0,054;"MIX_Hi_2";"fluc"
"214";"D";"650";"./mix_s9.txt";"mix";9;"V6";0,059;"MIX_Hi_2";"inc"
"215";"E";"650";"./mix_s9.txt";"mix";9;"V6";0,057;"MIX_Hi_2";"flucinc"
"216";"F";"650";"./mix_s9.txt";"mix";9;"V6";0,037;"MQ";NA
"217";"A";"395,680";"./mix_s9.txt";"mix";9;"V7";1;"MQ";NA
"218";"B";"395,680";"./mix_s9.txt";"mix";9;"V7";366;"MIX_Hi_3";"cs"
"219";"C";"395,680";"./mix_s9.txt";"mix";9;"V7";199;"MIX_Hi_3";"fluc"
"220";"D";"395,680";"./mix_s9.txt";"mix";9;"V7";308;"MIX_Hi_3";"inc"
"221";"E";"395,680";"./mix_s9.txt";"mix";9;"V7";280;"MIX_Hi_3";"flucinc"
"222";"F";"395,680";"./mix_s9.txt";"mix";9;"V7";0;"MQ";NA
"223";"A";"614,680";"./mix_s9.txt";"mix";9;"V7";0;"MQ";NA
"224";"B";"614,680";"./mix_s9.txt";"mix";9;"V7";62;"MIX_Hi_3";"cs"
"225";"C";"614,680";"./mix_s9.txt";"mix";9;"V7";78;"MIX_Hi_3";"fluc"
"226";"D";"614,680";"./mix_s9.txt";"mix";9;"V7";58;"MIX_Hi_3";"inc"
"227";"E";"614,680";"./mix_s9.txt";"mix";9;"V7";43;"MIX_Hi_3";"flucinc"
"228";"F";"614,680";"./mix_s9.txt";"mix";9;"V7";3;"MQ";NA
"229";"A";"440,660";"./mix_s9.txt";"mix";9;"V7";0;"MQ";NA
"230";"B";"440,660";"./mix_s9.txt";"mix";9;"V7";275;"MIX_Hi_3";"cs"
"231";"C";"440,660";"./mix_s9.txt";"mix";9;"V7";259;"MIX_Hi_3";"fluc"
"232";"D";"440,660";"./mix_s9.txt";"mix";9;"V7";196;"MIX_Hi_3";"inc"
"233";"E";"440,660";"./mix_s9.txt";"mix";9;"V7";169;"MIX_Hi_3";"flucinc"
"234";"F";"440,660";"./mix_s9.txt";"mix";9;"V7";8;"MQ";NA
"235";"A";"440";"./mix_s9.txt";"mix";9;"V7";0,04;"MQ";NA
"236";"B";"440";"./mix_s9.txt";"mix";9;"V7";0,081;"MIX_Hi_3";"cs"
"237";"C";"440";"./mix_s9.txt";"mix";9;"V7";0,089;"MIX_Hi_3";"fluc"
"238";"D";"440";"./mix_s9.txt";"mix";9;"V7";0,077;"MIX_Hi_3";"inc"
"239";"E";"440";"./mix_s9.txt";"mix";9;"V7";0,071;"MIX_Hi_3";"flucinc"
"240";"F";"440";"./mix_s9.txt";"mix";9;"V7";0,039;"MQ";NA
"241";"A";"450";"./mix_s9.txt";"mix";9;"V7";0,04;"MQ";NA
"242";"B";"450";"./mix_s9.txt";"mix";9;"V7";0,077;"MIX_Hi_3";"cs"
"243";"C";"450";"./mix_s9.txt";"mix";9;"V7";0,083;"MIX_Hi_3";"fluc"
"244";"D";"450";"./mix_s9.txt";"mix";9;"V7";0,086;"MIX_Hi_3";"inc"
"245";"E";"450";"./mix_s9.txt";"mix";9;"V7";0,068;"MIX_Hi_3";"flucinc"
"246";"F";"450";"./mix_s9.txt";"mix";9;"V7";0,04;"MQ";NA
"247";"A";"650";"./mix_s9.txt";"mix";9;"V7";0,037;"MQ";NA
"248";"B";"650";"./mix_s9.txt";"mix";9;"V7";0,061;"MIX_Hi_3";"cs"
"249";"C";"650";"./mix_s9.txt";"mix";9;"V7";0,064;"MIX_Hi_3";"fluc"
"250";"D";"650";"./mix_s9.txt";"mix";9;"V7";0,062;"MIX_Hi_3";"inc"
"251";"E";"650";"./mix_s9.txt";"mix";9;"V7";0,054;"MIX_Hi_3";"flucinc"
"252";"F";"650";"./mix_s9.txt";"mix";9;"V7";0,036;"MQ";NA
"253";"A";"395,680";"./mix_s9.txt";"mix";9;"V8";1;"MQ";NA
"254";"B";"395,680";"./mix_s9.txt";"mix";9;"V8";5;"MQ";NA
"255";"C";"395,680";"./mix_s9.txt";"mix";9;"V8";1;"MQ";NA
"256";"D";"395,680";"./mix_s9.txt";"mix";9;"V8";1;"MQ";NA
"257";"E";"395,680";"./mix_s9.txt";"mix";9;"V8";0;"MQ";NA
"258";"F";"395,680";"./mix_s9.txt";"mix";9;"V8";3;"MQ";NA
"259";"A";"614,680";"./mix_s9.txt";"mix";9;"V8";0;"MQ";NA
"260";"B";"614,680";"./mix_s9.txt";"mix";9;"V8";3;"MQ";NA
"261";"C";"614,680";"./mix_s9.txt";"mix";9;"V8";0;"MQ";NA
"262";"D";"614,680";"./mix_s9.txt";"mix";9;"V8";0;"MQ";NA
"263";"E";"614,680";"./mix_s9.txt";"mix";9;"V8";1;"MQ";NA
"264";"F";"614,680";"./mix_s9.txt";"mix";9;"V8";2;"MQ";NA
"265";"A";"440,660";"./mix_s9.txt";"mix";9;"V8";5;"MQ";NA
"266";"B";"440,660";"./mix_s9.txt";"mix";9;"V8";5;"MQ";NA
"267";"C";"440,660";"./mix_s9.txt";"mix";9;"V8";1;"MQ";NA
"268";"D";"440,660";"./mix_s9.txt";"mix";9;"V8";8;"MQ";NA
"269";"E";"440,660";"./mix_s9.txt";"mix";9;"V8";6;"MQ";NA
"270";"F";"440,660";"./mix_s9.txt";"mix";9;"V8";5;"MQ";NA
"271";"A";"440";"./mix_s9.txt";"mix";9;"V8";0,044;"MQ";NA
"272";"B";"440";"./mix_s9.txt";"mix";9;"V8";0,043;"MQ";NA
"273";"C";"440";"./mix_s9.txt";"mix";9;"V8";0,039;"MQ";NA
"274";"D";"440";"./mix_s9.txt";"mix";9;"V8";0,04;"MQ";NA
"275";"E";"440";"./mix_s9.txt";"mix";9;"V8";0,039;"MQ";NA
"276";"F";"440";"./mix_s9.txt";"mix";9;"V8";0,041;"MQ";NA
"277";"A";"450";"./mix_s9.txt";"mix";9;"V8";0,043;"MQ";NA
"278";"B";"450";"./mix_s9.txt";"mix";9;"V8";0,042;"MQ";NA
"279";"C";"450";"./mix_s9.txt";"mix";9;"V8";0,039;"MQ";NA
"280";"D";"450";"./mix_s9.txt";"mix";9;"V8";0,039;"MQ";NA
"281";"E";"450";"./mix_s9.txt";"mix";9;"V8";0,039;"MQ";NA
"282";"F";"450";"./mix_s9.txt";"mix";9;"V8";0,04;"MQ";NA
"283";"A";"650";"./mix_s9.txt";"mix";9;"V8";0,04;"MQ";NA
"284";"B";"650";"./mix_s9.txt";"mix";9;"V8";0,037;"MQ";NA
"285";"C";"650";"./mix_s9.txt";"mix";9;"V8";0,036;"MQ";NA
"286";"D";"650";"./mix_s9.txt";"mix";9;"V8";0,037;"MQ";NA
"287";"E";"650";"./mix_s9.txt";"mix";9;"V8";0,034;"MQ";NA
"288";"F";"650";"./mix_s9.txt";"mix";9;"V8";0,038;"MQ";NA
"289";"A";"395,680";"./mix_s8.txt";"mix";8;"V1";1;"MQ";NA
"290";"B";"395,680";"./mix_s8.txt";"mix";8;"V1";4;"MQ";NA
"291";"C";"395,680";"./mix_s8.txt";"mix";8;"V1";0;"MQ";NA
"292";"D";"395,680";"./mix_s8.txt";"mix";8;"V1";0;"MQ";NA
"293";"E";"395,680";"./mix_s8.txt";"mix";8;"V1";2;"MQ";NA
"294";"F";"395,680";"./mix_s8.txt";"mix";8;"V1";1;"MQ";NA
"295";"A";"614,680";"./mix_s8.txt";"mix";8;"V1";3;"MQ";NA
"296";"B";"614,680";"./mix_s8.txt";"mix";8;"V1";4;"MQ";NA
"297";"C";"614,680";"./mix_s8.txt";"mix";8;"V1";3;"MQ";NA
"298";"D";"614,680";"./mix_s8.txt";"mix";8;"V1";0;"MQ";NA
"299";"E";"614,680";"./mix_s8.txt";"mix";8;"V1";1;"MQ";NA
"300";"F";"614,680";"./mix_s8.txt";"mix";8;"V1";1;"MQ";NA
"301";"A";"440,660";"./mix_s8.txt";"mix";8;"V1";5;"MQ";NA
"302";"B";"440,660";"./mix_s8.txt";"mix";8;"V1";1;"MQ";NA
"303";"C";"440,660";"./mix_s8.txt";"mix";8;"V1";2;"MQ";NA
